avg_ip%,id_score,src-10,coord_var-to,coord_var-from,tt-fdet,tt-sdet,tt-avg_diag,tt-longest_diag
82.83,42.85,-0.1109,0.003,0.00158,0.7159,-0.0048,3.12,10
nan,156.25,0.1174,0.00034,0.00036,nan,nan,nan,nan
nan,0.0,0.2466,0.00193,0.00193,nan,nan,nan,nan
71.43,197.0,0.1918,0.00131,0.00933,0.2632,-0.0214,2.67,6
nan,277.78,-0.1243,0.00523,0.00391,nan,nan,nan,nan
57.14,499.49,0.4907,0.00225,0.01882,0.6894,-0.0242,2.93,6
71.34,24.91,0.2028,0.00067,0.00024,0.604,-0.0084,2.55,9
75.56,474.07,0.4395,0.00501,0.00078,0.848,0.0129,4.0,16
71.32,296.28,-0.44,0.0043,0.00023,0.7896,-0.0115,2.96,11
87.65,118.88,0.3582,7e-05,0.00089,0.7993,-0.0026,3.19,14
71.43,79.37,0.6687,0.00303,0.00171,0.7117,-0.001,2.86,10
nan,100.0,-0.3548,0.00169,0.00193,nan,nan,nan,nan
79.49,959.89,0.0518,0.00706,0.00576,0.8957,0.0008,3.44,10
74.36,52.6,1.039,0.00076,0.00209,0.7122,-0.0054,2.96,7
82.46,43.09,-0.3057,0.00026,0.00297,0.672,-0.0124,3.23,10
nan,30.86,-0.0024,0.00038,0.00038,nan,nan,nan,nan
83.95,64.01,-0.6553,0.00061,0.00105,0.8297,0.0162,3.83,26
82.35,215.3,0.5183,0.00089,0.00118,0.7494,0.005,3.08,9
73.81,79.37,0.1854,0.00049,0.00127,0.7318,-0.0142,3.11,8
74.67,99.56,-4.6707,0.00094,0.00013,0.8246,0.0195,3.47,16
82.11,326.53,-0.7005,0.0,0.00012,0.7875,-0.0069,3.39,16
nan,277.78,-0.1763,0.00068,0.00068,nan,nan,nan,nan
74.36,170.94,-0.0445,0.00015,0.00117,0.8054,0.0022,3.38,12
69.44,119.6,0.7466,0.00153,0.00263,0.637,0.0141,2.6,6
70.39,181.79,1.0574,0.0021,0.00061,0.6241,0.0103,2.85,7
85.42,28.21,-0.0929,0.00018,0.00153,0.8185,0.0066,3.16,14
90.91,79.58,0.018,0.00257,0.00093,0.7554,0.0082,3.1,12
77.78,241.87,-0.1428,0.00013,0.00145,0.6941,0.0096,3.34,12
