sd_score,so-flam,so-slam,so-avg_vert,so-longest_vert
2.48,0.79,-0.006,8.27,30
18.33,0.6328,0.065,8.78,23
314.9,0.8628,0.0052,11.28,52
70.4,0.5177,-0.0175,5.62,9
1166.8,0.9318,-0.0025,11.06,34
1091.63,0.9847,0.0009,33.08,80
27.95,0.4549,-0.0753,6.5,19
223.15,0.9397,0.011,20.7,56
291.77,0.9245,-0.0056,13.17,37
152.37,0.9149,0.0064,16.08,58
107.23,0.9378,0.0025,13.75,34
53.73,0.8834,-0.0051,11.75,19
196.29,0.9836,0.0001,33.5,115
189.24,0.9775,0.0041,29.5,79
30.11,0.9275,0.0009,8.85,17
3.08,0.6716,-0.026,8.22,21
107.06,0.5273,-0.0148,6.57,14
134.01,0.5424,0.0409,6.89,19
237.04,0.7652,0.0204,8.8,19
404.92,0.7791,0.0241,8.29,16
222.54,0.8388,-0.0009,11.3,45
77.59,0.7688,0.0346,8.38,17
242.94,0.0,0.0,3.0,3
35.5,0.9196,0.0032,14.12,69
148.85,0.417,-0.0476,7.43,16
191.75,0.9467,-0.0054,11.57,48
104.35,0.8252,0.0128,8.18,15
341.15,0.7643,-0.0273,11.0,18
