id,size,total_mins,ags
1.Pink.1,3.0,9.75,78.0
10.Orange.1,2.0,3.88,72.0
11.Pink.1,2.0,12.65,82.0
12.Blue.1,4.0,5.2,90.0
13.Yellow.1,2.0,8.67,62.0
14.Red.1,4.0,10.1,62.0
15.Orange.1,4.0,15.58,78.0
16.Yellow.1,3.0,5.46,64.0
17.Orange.1,4.0,13.1,76.0
18.Pink.1,3.0,15.27,84.0
19.Blue.1,3.0,7.05,88.0
2.Pink.1,2.0,9.83,68.0
20.Blue.1,3.0,6.14,76.0
21.Blue.1,3.0,7.3,80.0
22.Blue.1,3.0,5.5,66.0
23.Orange.1,2.0,12.32,90.0
24.Blue.1,3.0,13.44,47.0
25.Pink.1,3.0,7.56,100.0
26.Pink.1,3.0,5.21,92.0
27.Pink.1,3.0,7.38,66.0
28.Blue.1,3.0,14.18,72.0
3.Green.1,2.0,8.05,68.0
4.Blue.1,3.0,3.95,86.0
5.Orange.1,4.0,12.6,80.0
6.Blue.1,4.0,9.23,50.0
7.Orange.1,3.0,12.1,83.0
8.Blue.1,3.0,8.98,59.0
9.Green.1,3.0,6.63,70.0
