aoa_var,cnc_var,fam_var,img_var,pps_wcv,total_w_var,simple_w_var,1p_pron_sing_var,3p_pron_var,art_var,neg_w_var,neg_var,pt_wcv
51.79,66.36,10.12,85.79,642.17,990.89,948.67,304.22,11.56,8.67,5.56,3.56,6819.33
473.86,11.02,3.7,17.93,1013.04,1024.0,441.0,4.0,9.0,36.0,0.25,0.25,3029.0
137.16,0.08,9.78,0.22,294.46,116622.25,111222.25,841.0,25.0,56.25,2.25,4.0,457546.0
394.31,14.49,8.19,61.38,1913.51,8173.5,7358.75,55.69,23.19,30.69,6.5,5.25,62614.25
479.92,20.48,4.33,34.1,1077.66,221841.0,191406.25,240.25,110.25,1056.25,6.25,30.25,829381.0
479.42,815.66,67.86,894.54,9029.92,424032.5,347381.0,246.5,144.75,2322.69,75.5,27.69,3096922.5
13.28,64.95,7.28,28.42,455.72,38620.25,35894.19,207.69,36.19,165.69,99.5,67.19,300362.75
1010.7,320.37,1.79,281.02,4841.63,12788.22,10504.67,16.22,0.67,34.89,14.89,8.22,70103.33
376.91,43.24,20.48,131.65,2289.11,126386.19,101852.19,138.5,325.69,494.75,41.19,11.25,916999.0
36.12,26.21,0.23,34.07,289.86,83924.67,77968.67,254.89,44.67,141.56,32.67,92.67,487379.33
496.99,283.79,8.42,330.26,3358.36,15596.22,13682.67,8.0,24.67,84.67,16.22,2.0,88243.33
0.58,56.33,0.05,115.15,344.23,1156.0,870.25,6.25,0.25,0.25,1.0,2.25,4072.5
270.06,84.3,4.84,154.97,1542.51,7248.22,6278.22,12.67,6.89,32.89,0.67,0.22,40739.33
33.53,140.21,12.75,141.39,983.61,20594.89,17914.89,26.89,18.67,160.67,2.0,0.22,116154.67
351.52,106.02,4.9,146.43,1826.61,3088.22,3286.22,43.56,18.67,34.67,0.67,3.56,19426.67
79.44,15.89,0.0,14.65,219.97,2209.0,1156.0,12.25,42.25,100.0,0.25,64.0,7167.5
180.69,46.52,8.3,9.53,735.11,87724.67,71384.22,155.56,144.67,136.22,20.22,22.89,478765.33
45.19,5.51,4.77,17.0,217.42,23670.89,21086.0,22.89,80.89,13.56,1.56,10.89,134660.0
663.25,67.55,16.1,49.93,2390.47,21776.22,18770.67,43.56,108.67,106.89,1.56,12.67,122460.67
71.59,17.58,32.26,72.39,581.46,96560.67,84796.22,216.0,24.0,234.0,24.22,46.22,545704.0
203.21,61.93,2.11,117.25,1153.51,146793.56,124106.0,402.89,184.22,116.22,82.89,46.89,815198.0
151.43,12.95,1.79,40.87,414.07,10404.0,10712.25,20.25,4.0,272.25,2.25,1.0,42832.0
18.61,16.88,0.4,39.26,225.46,11480.89,9366.89,14.89,10.67,48.22,1.56,0.22,62770.0
269.02,152.7,7.63,114.12,2173.91,20680.19,16888.69,109.5,21.5,78.69,8.69,3.5,151163.0
111.01,36.97,3.95,87.67,958.4,63352.25,53261.25,114.75,50.75,191.5,26.19,14.0,468042.75
262.97,11.95,19.69,37.15,995.29,84008.0,73268.22,331.56,32.89,208.67,16.67,0.89,473600.67
205.58,48.03,3.63,24.63,845.59,45205.56,37261.56,113.56,128.0,210.67,0.67,6.22,248778.67
49.91,34.8,8.06,75.82,505.76,50712.67,41348.67,164.67,90.89,113.56,12.67,16.67,277379.33
