sp-flam,sp-slam,sp-avg_vert,sp-longest_vert,cs-flam,cs-slam,cs-avg_vert,cs-longest_vert,iambic_meter1_var,kiparskyhanson_hopkins_var,meter_arto_var,meter_ryan_var,meter_wcv
0.9753,-0.0017,15.56,62,0.7457,0.002,3.08,13,3.26,7.56,21.94,26.97,179.17
0.8331,0.0266,16.0,24,0.8269,0.0066,3.35,10,0.06,3.88,89.15,59.56,305.3
0.9457,-0.0083,19.94,47,0.7981,-0.0011,3.05,15,39.06,21.01,2.78,50.17,226.04
0.9041,0.0013,14.0,32,0.7887,-0.007,2.92,14,7.09,32.65,4.55,50.31,378.42
0.9167,-0.0164,10.05,26,0.7182,0.0022,2.96,16,2.53,1.06,32.62,35.91,144.25
0.9737,-0.0006,25.69,96,0.7908,-0.0057,3.18,12,368.97,140.17,96.76,139.81,2982.82
0.961,-0.0045,18.45,80,0.758,0.0005,3.08,16,12.11,32.55,29.97,31.05,422.74
0.4806,-0.0535,5.29,8,0.7041,-0.0044,3.15,9,74.19,53.49,13.28,19.82,482.32
0.9602,0.0007,14.0,46,0.7702,-0.0041,2.95,10,14.62,28.37,57.04,75.26,701.15
0.6819,-0.0516,8.95,35,0.7895,0.0004,3.15,13,19.93,0.04,40.68,47.77,325.29
0.9397,-0.0089,14.79,42,0.7412,-0.0045,3.02,10,12.55,9.36,17.57,11.73,153.62
0.9105,0.0137,19.0,29,0.569,0.0069,3.3,8,46.56,170.53,109.63,209.4,1072.25
0.1059,-0.0235,3.0,4,0.7468,0.0054,3.02,10,3.29,92.04,29.59,207.1,996.06
0.4678,-0.05,8.08,18,0.8196,0.0093,3.04,12,32.24,69.9,50.01,2.56,464.15
0.8165,-0.023,17.0,31,0.6333,-0.0067,2.99,9,0.31,7.22,185.87,125.73,957.39
0.9727,0.0011,16.38,49,0.7373,-0.0072,2.99,12,1.65,0.53,20.2,39.13,123.01
0.9826,-0.0019,26.19,64,0.7497,0.002,3.07,13,21.25,21.02,13.05,22.34,232.98
0.9266,-0.0048,18.36,46,0.6633,0.0191,2.89,8,16.19,4.11,5.3,10.35,107.85
0.9571,-0.0068,19.11,47,0.7067,-0.0011,3.05,10,28.71,84.38,48.74,71.7,700.6
0.9788,0.0023,21.54,42,0.7571,-0.0077,2.95,10,73.33,25.85,66.8,42.32,624.92
0.9738,0.0028,19.78,57,0.7895,0.0028,3.09,12,4.45,59.09,13.36,12.63,268.6
0.7601,-0.0386,9.61,34,0.7455,0.0068,3.01,13,59.56,6.23,25.11,77.83,337.47
0.9578,0.007,22.14,63,0.7842,-0.0144,2.91,8,0.3,19.63,72.25,303.14,1185.95
0.9437,-0.002,15.43,43,0.7616,0.0004,3.04,12,2.27,31.04,81.83,66.99,728.49
0.9959,0.0001,39.55,136,0.7033,-0.0059,2.98,12,51.55,33.44,126.1,91.13,1208.89
0.7689,-0.0394,14.0,44,0.7388,-0.0046,3.05,14,11.43,20.4,37.23,19.69,266.27
0.9736,-0.0025,16.94,50,0.7843,0.0014,3.09,10,31.13,18.26,21.29,11.64,246.96
0.7869,0.0036,8.13,36,0.6645,-0.0274,2.86,12,82.88,162.53,24.39,54.48,972.86
