avg_ip%,id_score,coord_var-to,coord_var-from,tt-fdet,tt-sdet,tt-avg_diag,tt-longest_diag
68.98,59.16,0.00528,0.00685,0.5744,-0.0082,2.61,8
77.83,66.53,0.00184,0.00133,0.5702,0.0024,2.55,5
73.39,132.02,0.0007,0.0015,0.6305,-0.0054,2.73,7
70.39,60.6,0.00259,0.00089,0.6599,0.0082,2.7,9
64.62,573.83,0.00129,0.00364,0.6724,0.0212,2.9,9
56.4,180.8,0.00147,0.00677,0.5055,-0.0529,2.66,9
80.0,96.3,0.00113,0.00038,0.737,0.0018,2.96,8
59.68,67.22,0.00202,0.00026,0.6654,-0.0584,4.3,26
82.91,30.68,0.00034,0.00098,0.7403,-0.0012,3.11,9
81.11,18.21,0.00118,0.00015,0.621,0.0259,2.5,9
81.67,138.89,0.00181,0.00444,0.6742,-0.0068,3.06,11
88.1,53.85,0.00059,0.00087,0.6954,-0.0014,3.07,12
62.5,178.57,0.00186,0.00843,0.7007,-0.0012,2.86,12
71.11,84.88,0.00119,0.00128,0.5903,0.0171,2.67,7
67.76,77.91,0.00117,0.00168,0.6521,0.0152,2.58,7
77.4,12.94,0.0018,0.0013,0.5996,0.0149,2.61,6
87.25,53.83,0.00057,0.00014,0.8638,0.0066,3.3,14
67.36,108.02,0.0011,0.00095,0.5751,0.0061,2.73,8
76.32,264.7,0.00034,0.00166,0.8297,0.0013,3.33,14
70.92,171.54,0.00034,0.00072,0.7026,0.0018,2.74,10
59.73,104.03,0.00092,0.00066,0.4634,-0.0086,2.36,6
63.02,69.21,0.00202,0.00102,0.4805,0.0092,2.37,4
