cf-s,cf-w,pos_sr-s,pos_sr-w,neg_sr-s,neg_sr-w
2105.5,3193.75,0.4679,0.1405,0.1101,0.024
1294.75,2005.5,0.3794,0.1239,0.0772,0.0214
2444.5,3152.5,0.2825,0.0973,0.0409,0.0122
2772.75,3272.25,0.2667,0.0867,0.0745,0.0232
3810.25,4777.75,0.2829,0.0833,0.1163,0.0359
2943.6,4986.4,0.3723,0.1378,0.1525,0.0472
1004.0,1905.33,0.3471,0.1434,0.0744,0.0274
746.8,1347.6,0.407,0.1479,0.1308,0.0413
3868.0,11692.67,0.3729,0.1267,0.1568,0.0384
519.75,871.5,0.2691,0.0746,0.1256,0.0373
386.0,1552.0,0.5047,0.2296,0.1402,0.0408
341.33,681.33,0.3198,0.1203,0.0872,0.0229
2738.5,6864.75,0.4174,0.1673,0.1783,0.0531
3343.5,5074.25,0.3156,0.1014,0.1065,0.0298
868.25,1651.25,0.3907,0.144,0.1488,0.054
913.75,2636.25,0.3123,0.1098,0.1053,0.0285
1695.33,3851.33,0.3287,0.0974,0.1296,0.0385
3585.0,5904.25,0.3987,0.1568,0.0915,0.0333
4810.0,8294.67,0.3838,0.1359,0.081,0.0208
3566.25,6867.25,0.4375,0.1989,0.0982,0.0335
6726.8,11076.8,0.4541,0.1769,0.123,0.0392
1415.2,4184.8,0.3507,0.1363,0.1076,0.0281
